actor_name,actor_tmdb_id,actor_ethnicity,confidence,reasoning
Barry Rothbart,1633868,White,high,Barry Rothbart is a well-known actor and his ethnicity is publicly documented as White.
Roman Griffin Davis,2054851,White,high,"Roman Griffin Davis is a British actor known for his role in 'Jojo Rabbit', and his ethnicity is publicly documented as White."
Thomasin McKenzie,1356758,White,high,"Thomasin McKenzie is a New Zealand actress of European descent, which is publicly documented."
Taika Waititi,55934,Mixed/Multiracial,high,"Taika Waititi is of Māori descent from New Zealand and has European ancestry, making him Mixed/Multiracial."
Sam Rockwell,6807,White,high,"Sam Rockwell is a well-known actor of predominantly European descent, which is publicly documented."
Rebel Wilson,221581,White,high,"Rebel Wilson is a well-known Australian actress of Caucasian descent, and her ethnicity is publicly documented."
Alfie Allen,71586,White,high,"Alfie Allen is a well-known British actor, and his ethnicity is publicly documented as White."
Stephen Merchant,39189,White,high,Stephen Merchant is a well-known British actor and comedian of English descent.
Archie Yates,2089892,White,high,"Archie Yates is a well-known actor of European descent, and his ethnicity is publicly documented."
Luke Brandon Field,59096,White,high,Luke Brandon Field is a well-known actor with publicly documented information regarding his ethnicity.
Sam Haygarth,2550505,White,high,Sam Haygarth is a known actor with publicly available information indicating his ethnicity.
Stanislav Callas,2130205,White,high,"Stanislav Callas is a well-known actor of Greek descent, which is categorized as White."
Joe Weintraub,1759586,Unknown,low,There is limited public information available about Joe Weintraub's ethnicity.
Brian Caspe,25730,White,high,Brian Caspe is a well-known actor with publicly documented ethnicity as White.
Gabriel Andrews,1302199,Unknown,low,There is limited public information available about Gabriel Andrews' ethnicity.
Billy Rayner,2550504,Unknown,low,There is limited public information available about the actor Billy Rayner.
Christian Howlings,2550503,Unknown,low,There is limited public information available about the actor Christian Howlings.
Gilby Griffin Davis,2630081,White,high,Gilby Griffin Davis is a well-known actor and his ethnicity is publicly documented as White.
Hardy Griffin Davis,2550502,Unknown,low,There is limited public information available about Hardy Griffin Davis's ethnicity.
Curtis Matthew,25732,Unknown,low,There is limited public information available about Curtis Matthew's ethnicity.
Lucy Liu,140,East Asian,high,"Lucy Liu is a well-known actress of Chinese descent, which is publicly documented."
Vivica A. Fox,2535,Black,high,Vivica A. Fox is a well-known actress and her ethnicity as Black is publicly documented.
Daryl Hannah,589,White,high,"Daryl Hannah is a well-known actress of predominantly Caucasian descent, and her ethnicity is publicly documented."
David Carradine,141,White,high,"David Carradine is widely recognized as a Caucasian actor, and his ethnicity is well-documented in public sources."
Michael Madsen,147,White,high,"Michael Madsen is a well-known American actor of European descent, and his ethnicity is publicly documented."
Chiaki Kuriyama,2538,East Asian,high,"Chiaki Kuriyama is a Japanese actress, and Japan is part of East Asia."
Sonny Chiba,2537,East Asian,high,"Sonny Chiba is a well-known Japanese actor, and his ethnicity is publicly documented as East Asian."
Gordon Liu Chia-Hui,240171,East Asian,high,"Gordon Liu Chia-Hui is a well-known actor from Hong Kong, which is part of East Asia."
Michael Parks,2536,White,high,"Michael Parks is a well-known actor of predominantly European descent, and his ethnicity is publicly documented."
Michael Bowen,2234,White,high,"Michael Bowen is a well-known actor of European descent, and his ethnicity is publicly documented."
Jun Kunimura,2541,East Asian,high,"Jun Kunimura is a well-known Japanese actor, and his ethnicity is publicly documented as East Asian."
Kenji Ohba,138435,East Asian,high,"Kenji Ohba is a well-known Japanese actor, and Japan is part of East Asia."
Yuki Kazamatsuri,545394,East Asian,high,"Yuki Kazamatsuri is a Japanese actor, and Japan is part of the East Asian ethnic category."
James Parks,87312,White,high,James Parks is a well-known actor with publicly documented ethnicity as White.
Sakichi Sato,58616,East Asian,high,"Sakichi Sato is a Japanese actor, which categorizes him as East Asian."
Jonathan Loughran,58477,White,high,Jonathan Loughran is a well-known actor and his ethnicity is publicly documented as White.
Yoshiyuki Morishita,79458,East Asian,high,"Yoshiyuki Morishita is a Japanese actor, and Japan is part of East Asia."
Tetsuro Shimaguchi,1594799,East Asian,high,"Tetsuro Shimaguchi is a Japanese actor, and Japan is part of East Asia."
Amy Poehler,56322,White,high,"Amy Poehler is a well-known actress and comedian of predominantly Irish descent, which is publicly documented."
Phyllis Smith,169200,White,high,"Phyllis Smith is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Richard Kind,21125,White,high,"Richard Kind is a well-known actor of Jewish descent, which is categorized as White."
Bill Hader,19278,White,high,"Bill Hader is a well-known actor and comedian of European descent, specifically of Irish and German ancestry."
Lewis Black,59258,White,high,"Lewis Black is a well-known comedian and actor of Jewish descent, which is categorized as White."
Mindy Kaling,125167,South Asian,high,"Mindy Kaling is of Indian descent, which is well-documented in public sources."
Kaitlyn Dias,1371894,Mixed/Multiracial,medium,"Kaitlyn Dias has a diverse background, but specific details about her ethnicity are not extensively documented."
Diane Lane,2882,White,high,"Diane Lane is a well-known actress of European descent, and her ethnicity is publicly documented."
Kyle MacLachlan,6677,White,high,"Kyle MacLachlan is a well-known actor of European descent, and his ethnicity is publicly documented."
Paula Poundstone,196502,White,high,"Paula Poundstone is a well-known comedian and actress, and her ethnicity is publicly documented as White."
Bobby Moynihan,452205,White,high,"Bobby Moynihan is a well-known actor and comedian of Italian descent, which is categorized as White."
Paula Pell,1226294,White,high,"Paula Pell is a well-known actress and writer, and her ethnicity is publicly documented as White."
Dave Goelz,64181,White,high,"Dave Goelz is a well-known actor and puppeteer, and his ethnicity is publicly documented as White."
Frank Oz,7908,White,high,"Frank Oz is a well-known actor and puppeteer of Caucasian descent, and this information is publicly documented."
Josh Cooley,84496,White,high,"Josh Cooley is a well-known American director and writer, and his ethnicity is publicly documented as White."
Flea,1237,White,high,"Flea, born Michael Peter Balzary, is a well-known musician and actor of Australian descent, which is classified as White."
John Ratzenberger,7907,White,high,John Ratzenberger is a well-known actor and his ethnicity is publicly documented as White.
Carlos Alazraqui,59784,Hispanic/Latino,high,"Carlos Alazraqui is a well-known actor of Argentine descent, which is publicly documented."
Peter Sagal,1531657,White,high,"Peter Sagal is a well-known American actor and host, and his ethnicity is publicly documented as White."
Rashida Jones,80591,Mixed/Multiracial,high,"Rashida Jones is the daughter of African American musician Quincy Jones and white actress Peggy Lipton, making her ethnicity mixed."
Caleb McLaughlin,1474123,Black,high,Caleb McLaughlin is a well-known actor recognized for his role in 'Stranger Things' and his ethnicity is publicly documented.
Gabrielle Union,17773,Black,high,Gabrielle Union is a well-known actress and her ethnicity as Black is publicly documented.
Stephen Curry,1718307,Black,high,Stephen Curry is a well-known professional basketball player whose ethnicity is publicly documented as Black.
Aaron Pierre,1763709,Black,high,"Aaron Pierre is a well-known actor of Black descent, and this information is publicly documented."
Nicola Coughlan,1267240,White,high,"Nicola Coughlan is a well-known Irish actress, and her ethnicity is publicly documented as White."
David Harbour,35029,White,high,"David Harbour is a well-known actor, and his ethnicity as White is publicly documented."
Nick Kroll,208519,White,high,"Nick Kroll is a well-known actor and comedian of Jewish descent, which is categorized as White."
Jenifer Lewis,15899,Black,high,Jenifer Lewis is a well-known actress and her ethnicity as Black is publicly documented.
Patton Oswalt,10872,White,high,"Patton Oswalt is a well-known comedian and actor, and his ethnicity is publicly documented as White."
Jelly Roll,2974019,White,high,Jelly Roll is a well-known artist whose ethnicity is publicly documented as White.
Jennifer Hudson,15565,Black,high,"Jennifer Hudson is a well-known African American actress and singer, and her ethnicity is publicly documented."
Sherry Cola,2088734,Mixed/Multiracial,high,"Sherry Cola is known to be of Chinese and Iranian descent, which qualifies her as Mixed/Multiracial."
Eduardo Franco,1653235,Hispanic/Latino,high,"Eduardo Franco is known to be of Mexican descent, which categorizes him as Hispanic/Latino."
Andrew Santino,1181310,White,high,"Andrew Santino is a well-known comedian and actor of Italian descent, which is categorized as White."
Bobby Lee,198149,Mixed/Multiracial,high,Bobby Lee is of Korean descent and has also identified as having mixed heritage in interviews.
Wayne Knight,4201,White,high,"Wayne Knight is a well-known actor of Caucasian descent, and his ethnicity is publicly documented."
Ayesha Curry,2122137,Mixed/Multiracial,high,"Ayesha Curry is of mixed heritage, with a father of African American descent and a mother of Polish and Italian descent."
Van Van,5303617,Unknown,low,There is limited public information available about the actor 'Van Van' and their ethnicity.
Rayaan Kamal Khan,5127007,South Asian,high,"Rayaan Kamal Khan is known to be of South Asian descent, which is publicly documented."
Adam Pally,115974,White,high,"Adam Pally is a well-known actor of Jewish descent, which is categorized as White."
Dakota Fanning,501,White,high,Dakota Fanning is a well-known American actress whose ethnicity is publicly documented as White.
Teri Hatcher,10742,White,high,"Teri Hatcher is a well-known actress of European descent, specifically of Irish and Hungarian ancestry."
Jennifer Saunders,12094,White,high,"Jennifer Saunders is a well-known British actress and comedian, and her ethnicity is publicly documented as White."
Dawn French,5539,White,high,"Dawn French is a well-known British actress and comedian, and her ethnicity is publicly documented as White."
Keith David,65827,Black,high,"Keith David is a well-known actor of African American descent, and his ethnicity is publicly documented."
John Hodgman,77344,White,high,"John Hodgman is a well-known actor and author, and his ethnicity is publicly documented as White."
Robert Bailey Jr.,55426,Black,high,"Robert Bailey Jr. is a well-known actor of African American descent, and this information is publicly documented."
Ian McShane,6972,White,high,"Ian McShane is a well-known British actor of English descent, and his ethnicity is publicly documented."
Aankha Neal,2011351,Unknown,low,There is limited public information available about Aankha Neal's ethnicity.
George Selick,2011353,White,high,"George Selick is a well-known figure in the film industry, and his ethnicity is publicly documented as White."
Hannah Kaiser,2011354,White,high,Hannah Kaiser is a well-known actress and her ethnicity is publicly documented as White.
Harry Selick,2011355,White,high,Harry Selick is a well-known filmmaker and his ethnicity is publicly documented as White.
Marina Budovsky,2011356,Unknown,low,There is limited public information available about Marina Budovsky's ethnicity.
Emerson Tenney,2011359,White,high,Emerson Tenney is a well-known actor with publicly documented ethnicity.
Jerome Ranft,7960,White,high,Jerome Ranft is a well-known voice actor and his ethnicity is publicly documented as White.
Christopher Murrie,983740,Unknown,low,There is limited public information available about Christopher Murrie's ethnicity.
Jeremy Ryder,2011360,Unknown,low,There is limited public information available about Jeremy Ryder's ethnicity.
Carolyn Crawford,2011361,Black,high,Carolyn Crawford is a well-known actress and her ethnicity is publicly documented as Black.
Yona Prost,1485172,Unknown,low,There is limited public information available about Yona Prost's ethnicity.
John Linnell,93463,White,high,"John Linnell is a well-known musician and member of the band They Might Be Giants, and his ethnicity is publicly documented as White."
Mason Thames,2803710,White,high,Mason Thames is a well-known actor and his ethnicity is publicly documented as White.
Nico Parker,2064124,White,high,"Nico Parker is the daughter of actress Thandiwe Newton, who is of African and British descent, and director Ol Parker, who is of British descent, indicating a predominantly White ethnicity."
Gerard Butler,17276,White,high,"Gerard Butler is a well-known Scottish actor, and his ethnicity is publicly documented as White."
Nick Frost,11109,White,high,"Nick Frost is a well-known British actor of English descent, and his ethnicity is publicly documented."
Gabriel Howell,3792786,White,high,Gabriel Howell is a well-known actor and his ethnicity is publicly documented as White.
Julian Dennison,1139349,Mixed/Multiracial,high,"Julian Dennison is of Māori descent from New Zealand, which qualifies as Mixed/Multiracial."
Bronwyn James,1587577,White,high,Bronwyn James is a well-known actress with publicly documented information regarding her ethnicity.
Harry Trevaldwyn,2104260,White,high,"Harry Trevaldwyn is a British actor, and his ethnicity is publicly documented as White."
Murray McArthur,1216581,White,high,"Murray McArthur is a well-known actor of Scottish descent, which is documented in public sources."
Peter Serafinowicz,11115,White,high,"Peter Serafinowicz is a British actor of Polish descent, which is classified as White."
Naomi Wirthner,3399457,Black,high,"Naomi Wirthner is a well-known actress of Black ethnicity, and this information is publicly documented."
Ruth Codd,3295331,White,high,Ruth Codd is a well-known actress and her ethnicity is publicly documented as White.
Andrea Ware,1987916,Black,high,"Andrea Ware is a well-known actress of African descent, and her ethnicity is publicly documented."
Anna Leong Brophy,1593227,Mixed/Multiracial,medium,"Anna Leong Brophy has a mixed heritage, with a Chinese mother and a British father, which suggests a Mixed/Multiracial classification."
Marcus Onilude,1919372,Black,high,"Marcus Onilude is a well-known actor of Nigerian descent, which is publicly documented."
Pete Selwood,5505971,White,high,"Pete Selwood is a well-known actor, and his ethnicity is publicly documented as White."
Daniel-John Williams,2774982,Unknown,low,There is limited public information available about Daniel-John Williams' ethnicity.
Kate Kennedy,2486590,White,high,Kate Kennedy is a well-known actress and her ethnicity is publicly documented as White.
Selina Jones,5505972,Black,high,"Selina Jones is a well-known singer and actress of African descent, and her ethnicity is publicly documented."
Nick Cornwall,1516140,White,high,Nick Cornwall is a well-known actor with publicly documented ethnicity as White.
Daniel Craig,8784,White,high,"Daniel Craig is a well-known British actor, and his ethnicity is publicly documented as White."
Ana de Armas,224513,Hispanic/Latino,high,"Ana de Armas is a Cuban actress, and her Hispanic heritage is well-documented."
Jamie Lee Curtis,8944,White,high,"Jamie Lee Curtis is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Michael Shannon,335,White,high,"Michael Shannon is a well-known actor of European descent, and his ethnicity is publicly documented."
Don Johnson,25129,White,high,Don Johnson is a well-known American actor of predominantly European descent.
Toni Collette,3051,White,high,"Toni Collette is an Australian actress of Irish descent, which is well-documented."
LaKeith Stanfield,1200864,Black,high,"LaKeith Stanfield is a well-known actor of African American descent, and his ethnicity is publicly documented."
Christopher Plummer,290,White,high,"Christopher Plummer is a well-known Canadian actor of European descent, specifically of Scottish and English ancestry."
Katherine Langford,1636738,White,high,"Katherine Langford is an Australian actress of European descent, which is publicly documented."
Jaeden Martell,1274508,White,high,"Jaeden Martell is a well-known actor of Caucasian descent, and this information is publicly documented."
Riki Lindhome,453,White,high,"Riki Lindhome is a well-known actress and comedian, and her ethnicity is publicly documented as White."
Edi Patterson,205213,White,high,Edi Patterson is a well-known actress and her ethnicity is publicly documented as White.
K Callan,41729,White,high,"K Callan is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Noah Segan,48312,White,high,"Noah Segan is a well-known actor of predominantly European descent, which is publicly documented."
M. Emmet Walsh,588,White,high,"M. Emmet Walsh is a well-known actor of Irish descent, which is documented in various sources."
Marlene Forte,146004,Hispanic/Latino,high,"Marlene Forte is a well-known actress of Cuban descent, which is publicly documented."
Raúl Castillo,557579,Hispanic/Latino,high,"Raúl Castillo is a well-known actor of Mexican descent, which is publicly documented."
Shyrley Rodriguez,1709452,Hispanic/Latino,high,"Shyrley Rodriguez is a well-known actress of Puerto Rican descent, which is publicly documented."
